name,productId,console,pc,category,storePath,newSinceDate
Ori and the Will of the Wisps,9N8CD0XZKLP4,true,true,Essential,-/9N8CD0XZKLP4,
Overcooked! 2,BVJLKDG2TX8H,true,true,Essential,-/BVJLKDG2TX8H,
Overwatch®,C1C4DZJPBC2V,true,false,Essential,-/C1C4DZJPBC2V,
Overwatch® PC,9P36DQX6W9CS,false,true,Essential,-/9P36DQX6W9CS,
Perfect Dark Zero,BZF7N4FQWHNR,true,false,Essential,-/BZF7N4FQWHNR,
Psychonauts 2,9NBR2VXT87SJ,true,true,Essential,-/9NBR2VXT87SJ,
Retro Classics,9MTVJ3HHTQGS,true,true,Essential,-/9MTVJ3HHTQGS,
Shadowrun Returns,9N6PHQ93Z451,true,false,Essential,-/9N6PHQ93Z451,
Shadowrun Returns PC,9NF0RBL8SZL6,false,true,Essential,-/9NF0RBL8SZL6,
Shadowrun: Dragonfall - Director's Cut,9PKJTP6DTND3,true,false,Essential,-/9PKJTP6DTND3,
Shadowrun: Dragonfall - Director's Cut PC,9NMCRMS6WN78,false,true,Essential,-/9NMCRMS6WN78,
Shadowrun: Hong Kong - Extended Edition,9N7V5R3VLMJZ,true,false,Essential,-/9N7V5R3VLMJZ,
Shadowrun: Hong Kong - Extended Edition PC,9NK2DT3K7DTF,false,true,Essential,-/9NK2DT3K7DTF,
SMITE 2 (Game Preview),9NV8W1KJSQLL,true,true,Essential,-/9NV8W1KJSQLL,
SnowRunner,9PNRSC0J6DT8,true,false,Essential,-/9PNRSC0J6DT8,
SnowRunner - Windows,9NP6WL1XQDBW,false,true,Essential,-/9NP6WL1XQDBW,
Spiritfarer®: Farewell Edition,9NG5L58FD3X5,true,true,Essential,-/9NG5L58FD3X5,
Stacking,C042M8GWKS34,true,false,Essential,-/C042M8GWKS34,
StarCraft® II Campaign Collection,9PB7921QZ087,false,true,Essential,-/9PB7921QZ087,
StarCraft® Remastered,9N2GWLMCHJTN,false,true,Essential,-/9N2GWLMCHJTN,
Stardew Valley,C3D891Z6TNQM,true,true,Essential,-/C3D891Z6TNQM,
State of Decay 2: Juggernaut Edition,9NT4X7P8B9NB,true,true,Essential,-/9NT4X7P8B9NB,
Superball,9N4M72L6KGC8,true,true,Essential,-/9N4M72L6KGC8,
SUPERHOT: MIND CONTROL DELETE,9NRH78B682L8,true,true,Essential,-/9NRH78B682L8,
Superliminal,9NVR4ZQKNBSB,true,true,Essential,-/9NVR4ZQKNBSB,
